equipement_id,type,modele,utilisateur_id,site,date_mise_en_service,garantie_active,criticite
PC-0001,poste_de_travail,Lenovo ThinkPad T14,USR-0001,Site Tanjombato,2019-10-03,False,haute
PC-0002,poste_de_travail,HP EliteBook 840,USR-0002,Siege Antananarivo,2024-09-16,True,basse
PC-0003,poste_de_travail,HP EliteBook 840,USR-0003,Site Tanjombato,2023-12-03,True,basse
PC-0004,poste_de_travail,Dell Latitude 5420,USR-0004,Agence Toamasina,2021-12-26,False,moyenne
PC-0005,poste_de_travail,Dell OptiPlex 3080,USR-0005,Agence Mahajanga,2023-03-03,False,haute
PC-0006,poste_de_travail,Lenovo ThinkPad T14,USR-0006,Agence Mahajanga,2019-03-08,False,moyenne
PC-0007,poste_de_travail,HP EliteBook 840,USR-0007,Agence Mahajanga,2018-12-03,False,moyenne
PC-0008,poste_de_travail,HP EliteBook 840,USR-0008,Agence Mahajanga,2025-07-14,True,moyenne
PC-0009,poste_de_travail,Dell OptiPlex 3080,USR-0009,Siege Antananarivo,2018-09-26,False,basse
PC-0010,poste_de_travail,HP EliteBook 840,USR-0010,Agence Toamasina,2021-02-01,False,moyenne
PC-0011,poste_de_travail,Dell OptiPlex 3080,USR-0011,Agence Mahajanga,2018-09-18,False,moyenne
PC-0012,poste_de_travail,HP EliteBook 840,USR-0012,Siege Antananarivo,2021-03-10,False,moyenne
PC-0013,poste_de_travail,HP EliteBook 840,USR-0013,Siege Antananarivo,2025-12-12,True,moyenne
PC-0014,poste_de_travail,HP EliteBook 840,USR-0014,Siege Antananarivo,2021-01-06,False,moyenne
PC-0015,poste_de_travail,Dell Latitude 5420,USR-0015,Agence Mahajanga,2020-12-14,False,basse
PC-0016,poste_de_travail,HP EliteBook 840,USR-0016,Site Tanjombato,2021-06-27,False,moyenne
PC-0017,poste_de_travail,Lenovo ThinkPad T14,USR-0017,Agence Toamasina,2025-07-26,True,haute
PC-0018,poste_de_travail,Lenovo ThinkPad T14,USR-0018,Siege Antananarivo,2025-10-05,True,moyenne
PC-0019,poste_de_travail,Lenovo ThinkPad T14,USR-0019,Agence Mahajanga,2019-01-21,False,haute
PC-0020,poste_de_travail,Dell Latitude 5420,USR-0020,Agence Mahajanga,2020-11-22,False,basse
PC-0021,poste_de_travail,Lenovo ThinkPad T14,USR-0021,Siege Antananarivo,2025-04-23,True,basse
PC-0022,poste_de_travail,Dell OptiPlex 3080,USR-0022,Siege Antananarivo,2024-01-29,True,moyenne
PC-0023,poste_de_travail,Dell Latitude 5420,USR-0023,Site Tanjombato,2022-03-23,False,haute
PC-0024,poste_de_travail,HP EliteBook 840,USR-0024,Site Tanjombato,2024-10-15,True,moyenne
PC-0025,poste_de_travail,HP EliteBook 840,USR-0025,Siege Antananarivo,2019-08-22,False,basse
PC-0026,poste_de_travail,Lenovo ThinkPad T14,USR-0026,Site Tanjombato,2019-11-29,False,basse
PC-0027,poste_de_travail,Dell Latitude 5420,USR-0027,Agence Toamasina,2025-04-13,True,basse
PC-0028,poste_de_travail,Dell Latitude 5420,USR-0028,Site Tanjombato,2020-11-23,False,basse
PC-0029,poste_de_travail,Lenovo ThinkPad T14,USR-0029,Site Tanjombato,2023-02-16,False,moyenne
PC-0030,poste_de_travail,Lenovo ThinkPad T14,USR-0030,Agence Toamasina,2025-05-04,True,moyenne
PC-0031,poste_de_travail,HP EliteBook 840,USR-0031,Agence Mahajanga,2024-07-05,True,basse
PC-0032,poste_de_travail,Dell OptiPlex 3080,USR-0032,Siege Antananarivo,2020-01-10,False,moyenne
PC-0033,poste_de_travail,Lenovo ThinkPad T14,USR-0033,Siege Antananarivo,2023-07-17,False,moyenne
PC-0034,poste_de_travail,Dell OptiPlex 3080,USR-0034,Agence Toamasina,2020-12-15,False,moyenne
PC-0035,poste_de_travail,Lenovo ThinkPad T14,USR-0035,Siege Antananarivo,2020-06-07,False,haute
PC-0036,poste_de_travail,Lenovo ThinkPad T14,USR-0036,Site Tanjombato,2025-05-03,True,moyenne
PC-0037,poste_de_travail,Dell OptiPlex 3080,USR-0037,Siege Antananarivo,2023-03-31,False,haute
PC-0038,poste_de_travail,HP EliteBook 840,USR-0038,Site Tanjombato,2023-05-28,False,basse
PC-0039,poste_de_travail,Lenovo ThinkPad T14,USR-0039,Site Tanjombato,2024-12-28,True,haute
PC-0040,poste_de_travail,Dell OptiPlex 3080,USR-0040,Agence Mahajanga,2019-10-09,False,moyenne
PC-0041,poste_de_travail,Dell OptiPlex 3080,USR-0041,Agence Toamasina,2026-01-17,True,moyenne
PC-0042,poste_de_travail,HP EliteBook 840,USR-0042,Agence Mahajanga,2024-10-13,True,basse
PC-0043,poste_de_travail,HP EliteBook 840,USR-0043,Siege Antananarivo,2022-08-05,False,moyenne
PC-0044,poste_de_travail,HP EliteBook 840,USR-0044,Agence Mahajanga,2025-06-08,True,moyenne
PC-0045,poste_de_travail,Lenovo ThinkPad T14,USR-0045,Agence Toamasina,2021-09-15,False,moyenne
PC-0046,poste_de_travail,Lenovo ThinkPad T14,USR-0046,Site Tanjombato,2022-07-31,False,basse
PC-0047,poste_de_travail,Dell OptiPlex 3080,USR-0047,Agence Toamasina,2023-12-01,True,haute
PC-0048,poste_de_travail,Lenovo ThinkPad T14,USR-0048,Agence Mahajanga,2022-06-02,False,basse
PC-0049,poste_de_travail,Dell OptiPlex 3080,USR-0049,Agence Toamasina,2026-06-30,True,moyenne
PC-0050,poste_de_travail,Dell OptiPlex 3080,USR-0050,Agence Mahajanga,2021-02-17,False,basse
PC-0051,poste_de_travail,Lenovo ThinkPad T14,USR-0051,Agence Toamasina,2023-08-10,False,haute
PC-0052,poste_de_travail,HP EliteBook 840,USR-0052,Siege Antananarivo,2022-01-28,False,basse
PC-0053,poste_de_travail,HP EliteBook 840,USR-0053,Agence Mahajanga,2018-11-14,False,basse
PC-0054,poste_de_travail,Dell Latitude 5420,USR-0054,Siege Antananarivo,2019-11-13,False,haute
PC-0055,poste_de_travail,Dell OptiPlex 3080,USR-0055,Siege Antananarivo,2026-01-27,True,basse
PC-0056,poste_de_travail,Lenovo ThinkPad T14,USR-0056,Agence Mahajanga,2022-07-25,False,basse
PC-0057,poste_de_travail,Lenovo ThinkPad T14,USR-0057,Siege Antananarivo,2024-02-10,True,moyenne
PC-0058,poste_de_travail,HP EliteBook 840,USR-0058,Siege Antananarivo,2018-11-21,False,haute
PC-0059,poste_de_travail,HP EliteBook 840,USR-0059,Site Tanjombato,2019-01-04,False,basse
PC-0060,poste_de_travail,Lenovo ThinkPad T14,USR-0060,Site Tanjombato,2019-09-29,False,moyenne
SCN-001,scanner,Fujitsu ScanSnap iX1400,,Agence Mahajanga,2025-03-06,True,moyenne
IMP-002,imprimante,Epson WorkForce WF-3820,,Siege Antananarivo,2021-05-10,True,moyenne
SCN-003,scanner,Fujitsu ScanSnap iX1400,,Agence Toamasina,2024-10-21,True,moyenne
IMP-004,imprimante,Canon i-SENSYS MF445,,Site Tanjombato,2020-12-23,False,moyenne
IMP-005,imprimante,Canon i-SENSYS MF445,,Agence Toamasina,2026-01-13,False,moyenne
IMP-006,imprimante,HP LaserJet Pro M404,,Agence Mahajanga,2025-07-13,False,moyenne
IMP-007,imprimante,HP LaserJet Pro M404,,Siege Antananarivo,2025-03-07,False,moyenne
IMP-008,imprimante,HP LaserJet Pro M404,,Siege Antananarivo,2024-01-23,False,moyenne
IMP-009,imprimante,HP LaserJet Pro M404,,Agence Toamasina,2021-06-07,False,moyenne
SCN-010,scanner,Fujitsu ScanSnap iX1400,,Agence Toamasina,2021-08-27,False,moyenne
IMP-011,imprimante,Canon i-SENSYS MF445,,Siege Antananarivo,2023-08-03,False,moyenne
IMP-012,imprimante,Canon i-SENSYS MF445,,Site Tanjombato,2024-08-30,False,moyenne
IMP-013,imprimante,HP LaserJet Pro M404,,Agence Toamasina,2024-05-09,False,moyenne
SCN-014,scanner,Fujitsu ScanSnap iX1400,,Siege Antananarivo,2025-09-16,False,moyenne
